Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
Patrick Patterson;OKC;$5,451,600;$5,711,200;;;;;MLE;$5,451,600
Jason Smith;MIL;$5,450,000;;;;;;Cap Space;$5,450,000
Marcus Morris;BOS;$5,375,000;;;;;;Bird Rights;$5,375,000
Trae Young;ATL;$5,356,440;$6,273,000;$6,571,800;$8,326,471;;;1st Round Pick;$11,629,440
Dwight Howard;WAS;$5,337,000;$5,603,850;;;;;MLE;$5,337,000
DeMarcus Cousins;GSW;$5,337,000;;;;;;MLE;$5,337,000
Josh Smith;DET;$5,331,729;$5,331,729;;;;;;$10,663,458
Alexis Ajinca;LAC;$5,285,394;;;;;;;$5,285,394
Thabo Sefolosha;UTA;$5,250,000;;;;;;Cap space;$5,250,000
Aron Baynes;BOS;$5,193,600;$5,453,280;;;;;;$5,193,600
Jaylen Brown;BOS;$5,169,960;$6,534,829;;;;;1st Rd pick;$11,704,789
Patrick Beverley;LAC;$5,027,028;;;;;;Bird Rights;$5,027,028
